Obs No.,Buy,Income,Is Female,Is Married,Has College,Is Professional,Is Retired,Unemployed,Residence Length,Dual Income,Minors,Own,House,White,English,Prev Child Mag,Prev Parent Mag
49,0,20000,1,0,0,0,0,0,29,0,0,0,0,0,1,0,0
50,0,2000,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0
51,0,43000,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
52,0,11000,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
53,0,18000,0,0,0,0,0,0,24,0,0,0,0,1,1,0,0
54,0,7000,1,0,0,0,0,0,10,0,1,0,1,1,1,0,0
55,1,75000,1,1,0,1,0,0,18,0,1,1,1,1,1,0,0
56,0,2000,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0
57,0,7000,1,0,0,0,0,0,13,0,1,0,1,1,1,0,0
58,0,0,1,0,0,0,0,0,32,0,1,0,1,0,1,0,0
59,1,47000,1,1,1,1,0,0,7,1,1,1,1,1,1,0,0
60,0,20000,1,0,0,1,0,0,3,0,0,0,0,1,1,0,0
61,1,75000,1,1,0,0,0,0,9,1,0,1,1,1,1,0,0
62,1,61000,1,1,1,1,0,0,51,1,0,1,1,0,1,0,0
63,0,30000,0,0,0,0,0,0,14,0,1,0,1,0,1,0,0
64,0,6000,1,0,0,0,0,0,18,0,1,1,1,1,1,0,0
65,0,22000,0,0,0,1,0,0,24,0,0,0,1,0,1,0,0
66,0,39000,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
67,0,26000,1,0,0,0,0,0,24,0,0,0,0,1,1,0,1
68,0,22000,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
69,0,46000,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
70,0,39000,1,1,1,0,0,0,45,1,1,1,1,0,1,0,0
71,0,49000,0,0,0,0,0,0,18,0,0,0,1,1,1,1,0
72,0,5000,1,1,0,0,0,0,18,0,1,0,1,0,1,0,0
73,0,9000,0,0,1,0,0,0,13,0,0,0,0,0,1,0,0
74,0,75000,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0
75,0,9000,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0
76,0,43000,1,0,0,1,0,0,25,0,0,0,1,1,1,0,1
77,0,30000,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0
78,0,13000,0,0,0,0,0,0,20,0,0,0,0,1,1,0,0
79,0,3000,1,0,0,0,0,1,9,0,1,0,1,0,0,0,0
80,0,28000,0,0,0,0,0,0,26,0,0,0,1,0,1,0,0
81,0,44000,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0
82,1,69000,1,1,1,1,0,0,26,1,0,0,0,1,1,0,0
83,0,3000,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
84,0,7000,0,0,0,0,0,0,16,0,1,0,1,0,1,0,0
85,0,32000,0,1,0,1,0,0,14,1,0,1,1,1,1,0,0
86,0,21000,0,0,0,0,0,0,33,0,0,0,0,1,1,0,0
87,1,75000,1,1,0,0,0,0,60,0,0,1,0,1,1,0,0
88,0,19000,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
89,0,42000,0,0,1,1,0,0,35,0,0,0,0,0,0,0,0
90,0,15000,0,0,1,1,0,0,26,0,0,0,0,0,1,0,0
91,0,6000,0,0,0,0,0,0,19,0,0,1,1,1,1,0,0
92,1,73000,0,0,0,0,0,0,42,0,1,0,1,1,1,0,0
93,1,75000,1,1,1,1,0,0,25,1,0,1,1,1,1,0,0
94,0,25000,1,0,0,0,0,0,28,0,1,0,0,1,1,0,0
95,0,8000,1,0,0,0,0,0,12,0,1,0,1,1,1,0,0
96,1,75000,0,1,1,1,0,0,25,1,0,1,1,1,1,0,0
97,0,44000,1,1,0,0,0,0,36,1,1,1,0,0,1,0,0
98,0,27000,0,1,1,1,0,0,18,1,0,0,1,1,1,1,0
99,0,7000,0,0,0,0,0,0,16,0,1,0,1,1,1,0,1
100,0,61000,0,1,0,1,0,0,5,1,1,0,0,1,1,1,0
101,0,70000,0,1,0,0,1,0,57,0,0,1,1,1,1,0,0
102,1,70000,0,1,0,1,0,0,8,0,1,0,1,1,1,0,0
103,0,1000,1,0,0,0,0,0,15,0,1,0,1,1,1,0,0
104,0,22000,1,0,1,1,0,0,4,0,0,0,0,1,1,0,0
105,0,23000,1,0,0,1,0,0,33,0,0,0,0,1,1,0,0
106,1,61000,1,1,0,0,0,0,28,1,0,1,1,1,1,1,0
107,0,75000,0,0,1,1,0,0,28,0,0,0,1,0,0,0,0
108,0,46000,1,0,1,1,0,0,36,0,0,1,1,1,1,0,0
109,0,49000,0,0,1,0,0,0,18,0,0,1,1,0,1,0,0
110,0,23000,0,0,1,1,0,0,6,0,0,0,0,1,1,0,0
111,1,59000,1,1,1,1,0,0,41,1,1,1,1,1,1,0,1
112,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,0,38000,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0
114,0,9000,1,0,0,0,0,0,3,0,1,0,1,1,1,0,0
115,0,21000,1,1,0,1,0,0,52,1,0,0,1,0,1,0,0
116,0,49000,1,0,0,1,0,0,24,0,0,1,0,1,1,0,0
117,0,61000,1,1,1,1,0,0,33,1,0,1,1,0,1,0,0
118,0,14000,1,0,0,0,1,0,44,0,0,1,1,1,1,0,1
119,1,75000,0,1,1,1,0,0,45,1,1,1,1,1,1,0,0
120,0,40000,0,1,0,0,0,0,13,0,0,1,1,1,1,0,0
121,1,59000,1,1,0,1,0,0,24,1,0,1,1,1,1,0,0
122,1,75000,1,1,1,1,0,0,11,1,1,1,1,1,1,1,0
123,1,57000,1,1,1,1,0,0,21,1,0,0,0,1,1,0,0
124,0,23000,0,1,0,0,0,0,12,0,1,0,1,0,0,0,0
125,1,73000,1,1,0,0,1,0,25,0,0,1,1,1,1,0,0
126,0,43000,1,0,1,1,0,0,36,0,0,0,0,1,1,0,1
127,0,30000,1,0,0,0,0,0,35,0,0,0,0,1,1,0,0
128,1,75000,0,0,1,1,0,0,9,0,0,0,0,1,1,0,0
129,1,75000,1,0,1,1,0,0,3,1,0,0,0,1,1,0,0
130,0,41000,0,1,0,1,0,0,15,0,1,1,1,1,1,0,0
131,0,6000,1,0,0,0,0,0,2,0,0,0,0,1,1,1,0
132,1,75000,1,0,1,1,0,0,51,0,1,0,1,1,1,0,0
133,0,36000,1,1,0,0,0,0,3,1,1,0,1,1,1,0,0
134,1,75000,0,1,1,1,0,0,11,1,0,1,1,1,1,0,0
135,0,26000,0,0,0,1,0,0,20,0,0,0,0,1,1,0,0
136,0,33000,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
137,0,37000,1,0,1,1,0,0,8,0,0,0,0,1,1,0,0
138,0,19000,1,0,0,1,0,0,11,0,0,0,0,1,1,0,0
139,0,19000,0,0,0,0,0,0,19,0,0,0,0,1,1,1,0
140,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0
141,0,50000,0,0,1,1,0,0,30,0,0,1,1,0,0,0,0
142,0,48000,0,1,0,0,0,0,22,1,1,1,1,0,0,0,0
143,0,75000,0,1,0,0,1,0,14,0,0,1,1,1,1,0,0
144,0,2000,1,0,0,0,1,0,2,0,0,1,0,1,1,0,0
145,0,10000,1,0,0,0,1,0,8,0,0,0,0,1,1,0,0
146,0,49000,0,0,0,1,0,0,18,0,0,0,0,1,1,0,0
147,0,26000,0,0,1,1,0,0,3,0,0,0,0,1,1,0,0
148,0,6000,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
149,0,32000,0,1,0,0,0,0,24,1,0,1,1,1,1,0,0
150,0,49000,1,1,0,0,0,0,21,1,0,1,1,1,1,0,0
151,0,33000,1,1,1,0,0,0,27,0,1,1,1,1,1,0,0
152,0,61000,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
153,0,6000,1,0,0,0,0,0,18,0,1,0,1,1,1,0,0
154,0,10000,1,0,0,0,0,1,20,0,1,0,1,1,1,0,0
155,0,2000,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
156,0,61000,0,0,0,1,0,0,17,0,0,0,0,1,1,0,0
157,0,31000,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0
158,0,13000,1,0,0,0,0,0,15,0,1,0,1,1,1,0,0
159,0,6000,1,0,0,0,0,0,15,0,1,0,1,1,1,0,0
160,0,15000,0,0,0,0,0,0,8,0,1,0,1,0,1,0,0
161,0,3000,0,0,0,0,0,0,16,0,1,0,1,1,1,0,0
162,0,15000,1,0,0,0,0,0,33,0,0,0,0,0,1,0,0
163,0,27000,1,0,1,1,0,0,18,0,0,0,0,0,1,0,0
164,0,2000,0,1,1,0,0,0,26,1,0,0,0,0,1,0,0
165,0,31000,1,0,1,1,0,0,18,0,0,1,1,1,1,0,0
166,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0
167,0,2000,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
168,0,37000,0,0,0,0,0,0,19,0,1,0,0,0,1,0,0
169,0,54000,0,1,1,1,0,0,37,0,0,1,1,1,1,0,0
170,0,4000,1,0,0,0,0,0,17,0,1,0,1,1,1,1,0
171,0,8000,1,0,1,0,0,0,38,0,0,0,1,1,1,1,0
172,0,57000,0,0,0,0,0,0,25,0,1,0,1,1,1,0,0
173,0,0,1,0,0,0,0,0,17,0,1,0,1,1,1,1,0
174,0,34000,1,1,0,0,0,0,27,1,0,0,1,1,1,0,0
175,0,48000,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0
176,0,28000,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0
177,0,1000,1,0,0,0,0,1,15,0,1,0,1,0,0,0,0
178,0,33000,0,0,1,1,0,0,24,0,0,0,1,1,1,0,0
179,0,19000,1,1,0,0,1,0,14,0,0,1,1,1,1,0,0
180,0,24000,1,0,0,0,0,0,31,0,0,0,0,0,1,0,0
181,0,25000,0,0,0,0,0,0,30,0,0,0,1,1,1,0,0
182,0,48000,0,0,1,1,0,0,9,0,0,1,1,0,1,0,0
183,1,75000,1,0,0,0,1,0,57,0,0,1,0,1,1,0,0
184,1,58000,1,1,1,0,0,0,8,1,0,1,1,1,1,0,1
185,0,1000,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0
186,0,0,1,0,0,0,0,0,14,0,1,0,1,1,1,0,0
187,1,67000,1,1,0,0,0,0,23,1,0,1,1,1,1,0,0
188,0,7000,1,0,1,0,0,0,4,0,0,0,0,1,1,0,0
189,0,7000,1,0,0,0,0,0,16,0,0,0,1,1,1,0,1
190,1,75000,0,1,1,0,0,0,5,1,0,1,1,1,1,0,1
191,0,53000,1,1,0,0,0,0,17,1,0,1,1,1,1,0,0
192,0,9000,1,0,0,0,0,0,13,0,0,0,1,0,0,0,0
193,0,44000,1,0,0,1,0,0,7,0,0,0,1,1,1,0,0
194,1,75000,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0
195,0,36000,0,1,0,0,0,0,37,1,0,1,1,1,1,0,0
196,0,3000,0,0,1,0,0,0,63,0,0,0,0,1,1,0,0
197,0,27000,1,0,0,1,0,0,58,0,0,1,1,1,1,0,0
198,0,8000,1,0,0,0,0,0,16,0,1,0,1,1,1,0,0
199,0,52000,1,1,0,0,0,0,21,0,0,1,1,1,0,0,0
200,0,34000,0,1,0,1,0,0,27,0,1,0,1,1,1,0,0
201,0,10000,1,0,0,0,0,0,14,0,1,0,1,0,1,0,0
202,0,32000,0,0,0,1,0,0,12,0,0,0,0,1,1,0,0
203,0,16000,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
204,0,21000,1,0,1,1,0,0,3,0,0,0,0,1,1,0,0
205,0,49000,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0
206,1,75000,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1
207,0,27000,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0
208,0,9000,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
209,0,9000,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
210,1,49000,1,1,0,0,0,0,25,1,1,1,1,0,1,0,0
211,0,48000,1,0,0,1,0,0,5,0,1,0,0,0,1,0,0
212,1,61000,1,1,0,0,0,0,22,0,1,1,1,1,1,0,0
213,0,15000,0,1,0,0,1,0,20,0,0,1,1,1,1,0,0
214,0,31000,1,1,1,0,0,1,16,1,0,1,1,1,1,0,0
215,0,31000,1,0,0,0,0,0,15,0,0,0,1,1,1,0,0
216,0,9000,1,0,0,0,0,0,21,0,0,0,1,1,1,0,0
217,0,10000,1,0,0,0,0,1,18,0,0,0,1,1,1,0,0
218,0,12000,0,0,1,1,0,0,8,0,0,0,0,1,1,0,0
219,0,11000,1,0,0,1,0,0,13,0,0,0,0,1,1,0,0
220,0,12000,0,0,0,1,0,0,23,0,0,0,0,1,0,0,0
221,0,14000,1,0,0,0,0,0,8,0,0,0,0,1,1,0,1
222,0,7000,1,0,0,0,0,0,10,0,0,0,0,1,1,0,0
223,0,23000,0,0,1,0,0,0,4,0,0,0,0,1,1,0,1
224,0,28000,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0
225,0,10000,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
226,0,38000,1,1,0,0,0,0,56,0,1,1,1,0,1,0,0
227,1,67000,1,0,0,0,0,0,9,0,1,0,1,1,1,0,0
228,0,38000,1,0,1,1,0,0,2,0,0,1,1,1,1,0,0
229,0,7000,0,0,0,0,0,0,5,0,1,0,1,0,1,0,0
230,0,18000,0,0,0,0,0,0,8,0,0,0,1,1,1,1,0
231,0,50000,0,0,0,0,0,0,34,0,1,1,1,0,1,0,0
232,0,23000,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
233,0,6000,0,0,0,0,0,0,21,0,1,0,1,1,1,0,0
234,1,75000,1,1,1,1,0,0,46,1,0,1,1,1,1,0,0
235,0,41000,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0
236,0,48000,1,1,0,0,0,0,23,1,0,1,1,1,1,0,0
237,0,54000,1,0,0,0,0,0,36,0,1,0,1,1,1,0,0
238,0,41000,1,1,0,0,0,0,16,0,0,1,1,1,1,0,0
239,0,30000,1,0,0,0,1,0,3,0,0,1,0,0,1,1,0
240,1,75000,1,0,0,1,0,0,43,0,0,1,1,1,1,0,1
241,0,27000,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0
242,0,45000,1,1,0,0,0,0,27,1,1,0,1,1,1,0,0
243,0,2000,0,0,0,0,0,0,19,1,0,0,0,0,1,0,0
244,0,20000,1,0,0,0,1,0,53,0,0,0,0,1,1,0,0
245,0,4000,0,0,0,0,0,0,15,0,1,0,1,1,1,0,0
246,1,74000,1,0,0,1,0,0,22,1,0,0,0,1,1,1,0
247,0,2000,1,0,1,0,0,0,27,1,0,0,0,1,1,0,0
248,0,49000,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0
249,1,75000,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0
250,0,15000,1,0,0,0,0,0,9,0,1,0,0,1,1,0,0
251,0,34000,0,0,0,0,0,0,23,0,1,0,1,0,0,0,0
252,0,75000,0,1,1,1,0,0,46,1,1,1,1,0,0,0,0
253,0,49000,1,1,0,0,0,0,27,1,1,1,1,1,1,0,0
254,0,49000,0,1,0,1,0,0,27,0,0,1,1,1,1,0,0
255,0,54000,1,1,1,1,0,0,17,1,0,1,0,1,1,0,0
256,0,35000,1,1,1,0,0,0,25,1,0,1,1,1,1,0,0
257,1,75000,0,1,0,1,0,0,18,1,1,1,1,1,1,0,0
258,1,75000,1,0,1,1,0,0,17,0,0,1,1,1,1,0,0
259,0,10000,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0
260,1,75000,1,1,1,1,0,0,5,1,0,1,0,1,1,1,1
261,0,13000,1,0,0,0,0,0,34,0,0,0,0,1,1,0,0
262,0,60000,1,1,1,1,0,0,2,1,0,1,1,1,1,0,0
263,0,4000,1,0,0,0,0,0,16,0,1,0,1,0,1,0,0
264,1,75000,0,0,0,1,0,0,4,0,1,0,1,0,1,1,0
265,0,46000,0,1,1,0,0,0,7,1,1,0,0,1,1,0,0
266,1,75000,0,0,1,1,0,0,17,0,0,1,1,1,1,0,1
267,0,17000,0,0,0,0,0,0,23,0,0,0,0,1,1,0,0
268,1,69000,0,0,1,1,0,0,21,0,0,1,1,1,1,0,0
269,0,10000,0,0,0,0,0,1,15,0,1,0,1,1,1,0,0
270,1,75000,0,1,1,1,0,0,2,1,0,0,1,1,1,0,0
271,0,5000,1,0,0,0,0,0,7,0,1,0,1,1,1,0,0
272,0,36000,0,0,0,0,0,0,23,0,0,0,1,1,1,0,0
273,0,40000,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0
274,0,44000,1,1,0,0,0,0,10,1,1,1,1,0,1,0,0
275,0,19000,0,0,1,0,0,0,3,0,0,0,0,1,1,0,0
276,0,27000,0,0,1,0,0,0,3,0,0,1,1,0,0,0,1
277,0,2000,0,0,0,0,0,0,15,0,1,0,1,1,1,0,0
278,0,25000,1,0,0,0,0,0,5,0,1,0,1,0,0,0,0
279,0,21000,1,0,0,1,0,0,8,0,0,1,1,1,1,0,0
280,0,14000,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
281,0,1000,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
282,0,34000,1,0,0,1,0,0,9,1,1,1,1,1,1,0,0
283,0,2000,1,0,0,0,0,0,17,0,1,0,1,0,1,0,0
284,0,25000,1,1,0,0,0,0,25,1,1,0,0,1,1,0,0
285,0,74000,0,0,0,0,0,0,20,0,1,0,1,0,1,0,0
286,0,19000,1,0,0,0,0,0,5,0,0,0,0,1,1,0,0
287,0,32000,1,1,0,0,0,0,16,0,0,1,1,1,1,0,0
288,0,18000,0,0,0,0,0,0,32,0,0,0,0,1,1,0,0
289,0,9000,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
290,0,38000,1,1,0,0,0,0,43,1,0,1,1,1,1,0,0
291,1,75000,1,1,1,1,0,0,24,1,1,1,1,1,1,0,0
292,0,1000,1,0,0,0,0,0,14,0,1,0,1,1,1,0,0
293,0,23000,1,0,0,0,0,0,16,0,0,1,1,1,1,0,0
294,0,1000,0,0,0,0,0,0,16,0,1,0,0,0,1,0,0
295,0,7000,0,0,0,0,0,0,5,0,1,0,1,0,1,0,0
296,0,10000,1,0,0,0,1,0,22,0,0,0,0,1,1,0,0
297,1,75000,0,1,1,1,0,0,7,1,1,1,1,1,1,0,1
298,0,2000,0,0,0,0,0,0,16,0,1,0,1,0,1,1,0
299,1,75000,0,1,1,1,0,0,26,1,0,1,1,1,1,0,0
300,0,39000,1,1,0,1,0,0,10,1,0,1,1,1,1,0,0
301,1,70000,1,1,1,1,0,0,18,1,1,1,1,1,1,0,0
302,0,65000,1,0,0,0,0,0,24,0,1,0,1,0,1,0,0
303,0,35000,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
304,1,75000,0,1,1,1,0,0,49,1,1,1,1,1,1,0,0
305,0,49000,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
306,0,44000,1,0,0,1,0,0,24,0,0,0,1,1,1,0,0
307,0,18000,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
308,1,48000,1,0,0,1,0,0,43,0,0,0,0,1,1,0,1
309,0,4000,1,0,0,0,0,0,15,0,1,0,0,0,1,0,0
310,0,2000,1,0,0,0,0,0,7,0,1,0,1,0,0,0,0
311,1,75000,0,1,1,1,0,0,42,1,0,1,1,1,1,0,0
312,0,39000,1,0,0,1,0,0,23,0,0,0,1,1,1,0,0
313,1,75000,1,1,1,1,0,0,11,1,0,1,1,0,0,1,0
314,0,26000,0,0,0,1,0,0,25,0,0,1,1,1,1,0,0
315,1,75000,0,0,1,1,0,0,6,1,0,0,0,1,1,0,1
316,0,22000,0,0,0,0,0,0,25,0,1,0,1,1,1,0,0
317,0,7000,1,1,0,0,1,0,28,0,1,0,1,0,1,0,0
318,1,68000,1,1,0,0,0,0,30,1,0,1,1,0,0,0,0
319,0,45000,0,1,0,1,0,0,14,1,0,0,1,0,1,0,0
320,1,64000,0,1,1,0,0,0,10,1,0,1,1,1,1,1,0
321,0,23000,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
322,1,75000,1,0,1,1,0,0,43,0,1,1,1,1,1,0,0
323,0,4000,0,0,0,0,0,0,37,0,0,0,0,1,1,0,0
324,0,18000,1,0,0,1,0,0,38,0,0,0,1,0,1,0,0
325,0,23000,1,0,0,0,0,0,13,0,0,0,0,1,1,0,0
326,0,25000,0,0,1,0,0,0,17,0,0,0,1,0,1,0,0
327,0,75000,1,1,0,0,0,0,20,0,1,1,1,0,0,1,0
328,0,34000,0,0,0,0,0,0,12,0,1,0,1,0,1,0,0
329,0,60000,0,1,0,0,0,0,18,1,1,0,1,1,1,0,1
330,0,49000,0,1,0,0,0,0,11,1,0,1,1,1,1,0,0
331,0,68000,0,1,0,1,0,0,34,0,0,1,1,1,1,0,0
332,0,41000,0,0,1,0,0,1,2,0,0,0,1,1,1,0,0
333,0,69000,1,0,1,1,0,0,39,0,1,0,1,0,1,0,0
334,0,39000,1,1,1,1,0,0,27,0,0,0,0,1,1,0,0
335,0,24000,1,0,1,1,0,0,9,0,0,0,0,1,1,0,0
336,0,6000,1,0,0,0,0,0,16,0,1,0,1,1,1,0,0
337,0,9000,0,0,0,0,0,1,8,0,0,1,1,1,1,0,0
338,0,9000,1,0,0,0,0,1,28,0,1,0,1,1,1,0,0
339,0,55000,0,1,1,1,0,0,37,1,1,1,1,1,1,0,0
340,0,28000,1,0,0,0,0,0,36,0,1,0,0,1,1,0,0
341,0,25000,0,0,0,0,0,0,30,0,0,0,1,0,1,0,1
342,0,39000,0,0,1,1,0,0,36,0,0,0,0,0,1,0,0
343,0,48000,0,1,1,1,0,0,7,1,0,0,0,1,1,0,0
344,0,28000,0,0,0,1,0,0,11,0,0,0,1,1,1,0,0
345,0,6000,0,0,0,0,0,0,15,0,1,0,1,0,1,1,0
346,0,51000,1,1,0,0,0,0,7,0,1,0,0,1,1,0,0
347,0,8000,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0
348,0,19000,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0
349,0,48000,0,1,0,0,0,0,6,1,1,1,1,0,0,0,0
350,0,39000,0,0,1,1,0,0,15,0,0,0,0,0,1,1,0
351,0,30000,0,1,1,0,0,0,14,1,0,0,0,1,1,0,1
352,1,66000,0,0,1,1,0,0,8,0,0,0,0,1,1,0,0
353,1,49000,1,1,1,0,0,0,42,0,1,1,1,1,1,0,0
354,0,22000,0,0,0,0,0,0,15,0,0,0,1,1,1,0,0
355,0,49000,1,1,0,0,0,0,43,0,1,1,1,1,1,0,0
356,0,2000,0,0,1,0,0,0,3,0,0,0,0,1,1,0,0
357,1,75000,0,1,0,1,0,0,36,1,1,1,1,1,1,0,0
358,0,10000,1,1,0,0,0,0,3,0,1,0,0,1,1,0,0
359,0,24000,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1
360,0,23000,1,0,0,0,0,0,23,0,1,1,1,0,1,0,0
361,1,48000,1,1,0,0,0,0,21,1,1,1,1,1,1,0,0
362,0,3000,1,0,0,0,0,0,10,0,1,0,1,1,1,0,0
363,0,4000,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
364,0,2000,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0
365,0,9000,1,0,0,0,0,0,14,0,1,0,0,0,1,0,0
366,0,37000,0,0,0,0,0,1,26,0,1,0,1,1,1,0,1
367,0,19000,0,0,0,1,0,0,15,0,0,0,1,0,1,0,0
368,0,1000,0,0,0,0,0,0,6,0,1,0,1,0,1,0,0
369,0,36000,1,1,0,0,0,0,23,1,0,1,0,0,1,0,1
370,0,54000,0,1,0,0,0,0,26,1,0,0,1,1,1,0,0
371,0,28000,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
372,0,47000,0,0,0,0,0,0,24,0,1,0,1,0,1,0,0
373,0,42000,1,1,0,0,0,0,58,0,0,1,0,1,1,0,0
