Stcd,Cntycd,Office Name,City,ST
01,081,Lee County USDA Serv Cntr,Opelika,AL
01,083,Limestone County USDA Serv Cntr,Athens,AL
01,085,Lowndes County FSA Office,Selma,AL
01,087,Macon County USDA Serv Cntr,Tuskegee,AL
01,089,Madison County USDA Serv Cntr,Huntsville,AL
01,091,Marengo County USDA Serv Cntr,Linden,AL
01,093,Marion County USDA Serv Cntr,Hamilton,AL
01,095,Marshall County USDA Serv Cntr,Guntersville,AL
01,097,Mobile County FSA Office,Bay Minette,AL
01,099,Monroe County USDA Serv Cntr,Monroeville,AL
01,101,Montgomery County FSA Office,Wetumpka,AL
01,103,Morgan County USDA Serv Cntr,Hartselle,AL
01,105,Perry County USDA Serv Cntr,Marion,AL
01,107,Pickens County USDA Serv Cntr,Carrollton,AL
01,109,Pike County USDA Serv Cntr,Troy,AL
01,111,Randolph County USDA Serv Cntr,Wedowee,AL
01,113,Russell County USDA Serv Cntr,Phenix City,AL
01,115,St Clair County FSA Office,Gadsden,AL
01,117,Shelby County FSA Office,Talladega,AL
01,119,Sumter County FSA Office,Eutaw,AL
01,121,Talladega County USDA Serv Cntr,Talladega,AL
01,123,Tallapoosa County USDA Serv Cntr,Alexander City,AL
01,125,Tuscaloosa County USDA Serv Cntr,Tuscaloosa,AL
01,127,Walker County FSA Office,Oneonta,AL
01,129,Washington County FSA Office,Jackson,AL
01,131,Wilcox County USDA Serv Cntr,Camden,AL
01,133,Winston County FSA Office,Hamilton,AL
01,702,USA - LSA,Prattvillle,AL
01,801,Autauga Quality Cotton Association,Prattvillle,AL
01,805,Tennessee Valley,Madison,AL
02,000,Alaska State USDA Office,Palmer,AK
02,002,Delta County USDA Serv Cntr,Delta Junction,AK
02,001,Fairbanks County USDA Serv Cntr,Fairbanks,AK
02,003,Homer County USDA Serv Cntr,Homer,AK
02,005,Palmer County USDA Serv Cntr,Wasilla,AK
04,000,Arizona State USDA Office,Phoenix,AZ
04,001,Apache County USDA Serv Cntr,St. Johns,AZ
04,003,Cochise County USDA Serv Cntr,Willcox,AZ
04,005,Coconino County USDA Serv Cntr,Flagstaff,AZ
04,007,Gila County FSA Office,Holbrook,AZ
04,009,Graham County USDA Serv Cntr,Safford,AZ
04,011,Greenlee County FSA Office,Safford,AZ
04,012,La Paz County FSA Office,Yuma,AZ
04,013,Maricopa County USDA Serv Cntr,Phoenix,AZ
04,015,Mojave County FSA Office,Flagstaff,AZ
04,017,Navajo County USDA Serv Cntr,Holbrook,AZ
04,019,Pima County USDA Serv Cntr,Tucson,AZ
04,021,Pinal County USDA Serv Cntr,Casa Grande,AZ
04,023,Santa Cruz County FSA Office,Tucson,AZ
04,025,Yavapai County FSA Office,Flagstaff,AZ
04,027,Yuma County USDA Serv Cntr,Yuma,AZ
04,804,Desert Wheat Growers Cooperative,Maricopa,AZ
05,000,Arkansas State USDA Office,Little Rock,AR
05,001,Arkansas County USDA Serv Cntr,DeWitt,AR
05,003,Ashley County USDA Serv Cntr,Hamburg,AR
05,005,Baxter County USDA Serv Cntr,Mountain Home,AR
05,007,Benton County USDA Serv Cntr,Bentonville,AR
05,009,Boone County USDA Serv Cntr,Harrison,AR
05,011,Bradley County USDA Serv Cntr,Warren,AR
05,013,Calhoun County FSA Office,Warren,AR
05,015,Carroll County USDA Serv Cntr,Berryville,AR
05,017,Chicot County USDA Serv Cntr,Lake Village,AR
05,019,Clark County USDA Serv Cntr,Arkadelphia,AR
05,021,Clay County USDA Serv Cntr,Piggott,AR
05,023,Cleburne County USDA Serv Cntr,Heber Springs,AR
05,025,Cleveland County FSA Office,Fordyce,AR
05,027,Columbia County FSA Office,Lewisville,AR
05,029,Conway County USDA Serv Cntr,Morrilton,AR
05,031,Craighead County USDA Serv Cntr,Jonesboro,AR
05,033,Crawford County FSA Office,Fort Smith,AR
05,035,Crittenden County USDA Serv Cntr,Marion,AR
05,037,Cross County USDA Serv Cntr,Wynne,AR
05,039,Dallas County USDA Serv Cntr,Fordyce,AR
05,041,Desha County USDA Serv Cntr,McGehee,AR
05,043,Drew County USDA Serv Cntr,Monticello,AR
05,045,Faulkner County USDA Serv Cntr,Conway,AR
05,047,Franklin County USDA Serv Cntr,Ozark,AR
05,049,Fulton County USDA Serv Cntr,Salem,AR
05,051,Garland County USDA Serv Cntr,Hot Springs,AR
05,053,Grant County FSA Office,Benton,AR
05,055,Greene County USDA Serv Cntr,Paragould,AR
05,057,Hempstead County USDA Serv Cntr,Hope,AR
05,059,Hot Spring County USDA Serv Cntr,Malvern,AR
05,061,Howard County USDA Serv Cntr,Nashville,AR
05,063,Independence County USDA Serv Cntr,Batesville,AR
05,065,Izard County USDA Serv Cntr,Melbourne,AR
05,067,Jackson County USDA Serv Cntr,Newport,AR
05,069,Jefferson County USDA Serv Cntr,Pine Bluff,AR
05,071,Johnson County USDA Serv Cntr,Clarksville,AR
05,073,LaFayette County USDA Serv Cntr,Lewisville,AR
05,075,Lawrence County USDA Serv Cntr,Walnut Ridge,AR
05,077,Lee County USDA Serv Cntr,Marianna,AR
05,079,Lincoln County USDA Serv Cntr,Star City,AR
05,081,Little River County USDA Serv Cntr,Ashdown,AR
05,083,Logan County USDA Serv Cntr,Paris,AR
05,085,Lonoke County USDA Serv Cntr,Lonoke,AR
05,087,Madison County USDA Serv Cntr,Huntsville,AR
05,089,Marion County,Mountain Home,AR
05,091,Miller County USDA Serv Cntr,Texarkana,AR
05,093,Mississippi County USDA Serv Cntr,Osceola,AR
05,095,Monroe County USDA Serv Cntr,Clarendon,AR
05,097,Montgomery County,Hot Springs,AR
05,099,Nevada County,Hope,AR
05,101,Newton County FSA Office,Harrison,AR
05,103,Ouachita County USDA Serv Cntr,Camden,AR
05,105,Perry County ,Conway,AR
05,107,Phillips County USDA Serv Cntr,Helena,AR
05,109,Pike County FSA Office,Nashville,AR
05,111,Poinsett County USDA Serv Cntr,Harrisburg,AR
05,113,Polk County USDA Serv Cntr,Mena,AR
05,115,Pope County USDA Serv Cntr,Russellville,AR
05,117,Prairie County USDA Serv Cntr,Hazen,AR
05,119,Pulaski County USDA Serv Cntr,North Little Rock,AR
05,121,Randolph County USDA Serv Cntr,Pocahontas,AR
05,123,St. Francis County USDA Serv Cntr,Forrest City,AR
05,125,Saline County USDA Serv Cntr,Benton,AR
05,127,Scott County FSA Office,Fort Smith,AR
05,129,Searcy County USDA Serv Cntr,Marshall,AR
05,131,Sebastian County USDA Serv Cntr,Fort Smith,AR
05,133,Sevier County USDA Serv Cntr,De Queen,AR
05,135,Sharp County USDA Serv Cntr,Ash Flat,AR
05,137,Stone County USDA Serv Cntr,Mountain View,AR
05,139,Union County FSA Office,Camden,AR
05,141,Van Buren County USDA Serv Cntr,Clinton,AR
05,143,Washington County USDA Serv Cntr,Fayetteville,AR
05,145,White County USDA Serv Cntr,Searcy,AR
05,147,Woodruff County USDA Serv Cntr,Augusta,AR
05,149,Yell County USDA Serv Cntr,Danville,AR
05,704,Adams Land Company ,Leachville,AR
05,802,"Riceland Foods, Inc.",Stuttgart,AR
05,803,"Producers Rice Mill, Inc",Stuttgart,AR
05,805,Cooperative Marketing Alliance/DBA CoMark,Memphis,TN
06,000,California State USDA Office,Davis,CA
06,001,Alameda County FSA Office,Concord,CA
06,003,Alpine County FSA Office,Minden,NV
06,005,Amador County FSA Office,Elk Grove,CA
06,007,Butte County USDA Serv Cntr,Oroville,CA
06,009,Calaveras County FSA Office,Stockton,CA
06,011,Colusa County USDA Serv Cntr,Colusa,CA
06,013,Contra Costa County USDA Serv Cntr,Concord,CA
06,015,Del Norte County FSA Office,Eureka,CA
06,017,El Dorado County FSA Office,Auburn,CA
06,019,Fresno County USDA Serv Cntr,Fresno,CA
06,021,Glenn County USDA Serv Cntr,Willows,CA
06,023,Humboldt County USDA Serv Cntr,Eureka,CA
06,025,Imperial County USDA Serv Cntr,El Centro,CA
06,027,Inyo County FSA Office,Minden,NV
06,029,Kern County USDA Serv Cntr,Bakersfield,CA
06,031,Kings County USDA Serv Cntr,Hanford,CA
06,033,Lake County FSA Office,Ukiah,CA
06,035,Lassen County USDA Serv Cntr,Susanville,CA
06,037,Los Angeles County USDA Serv Cntr,Lancaster,CA
06,039,Madera County USDA Serv Cntr,Madera,CA
06,041,Marin County FSA Office,Petaluma,CA
06,043,Mariposa County FSA Office,Merced,CA
06,045,Mendocino County USDA Serv Cntr,Ukiah,CA
06,047,Merced County USDA Serv Cntr,Merced,CA
06,049,Modoc County USDA Serv Cntr,Alturas,CA
06,051,Mono County FSA Office,Minden,NV
06,053,Monterey County FSA Office,Salinas,CA
06,055,NAPA County FSA Office,Dixon,CA
06,057,Nevada County FSA Office,Auburn,CA
06,059,Orange County FSA Office,Lancaster,CA
06,061,Placer County USDA Serv Cntr,Auburn,CA
06,063,Plumas County FSA Office,Susanville,CA
06,065,Riverside County USDA Serv Cntr,Indio,CA
06,067,Sacramento County USDA Serv Cntr,Elk Grove,CA
06,069,San Benito County USDA Serv Cntr,Hollister,CA
06,071,San Bernadino County FSA Office,Lancaster,CA
06,073,San Diego County FSA Office,Indio,CA
06,077,San Joaquin County USDA Serv Cntr,Stockton,CA
06,079,San Luis Obispo County USDA Serv Cntr,Templeton,CA
06,081,San Mateo County FSA Office,Salinas,CA
06,083,Santa Barbara County USDA Serv Cntr,Santa Maria,CA
06,085,Santa Clara County FSA Office,Hollister,CA
06,087,Santa Cruz County FSA Office,Salinas,CA
06,089,Shasta County USDA Serv Cntr,Redding,CA
06,091,Sierra County FSA Office,Susanville,CA
06,093,Siskiyou County USDA Serv Cntr,Yreka,CA
06,095,Solano County USDA Serv Cntr,Dixon,CA
06,097,Sonoma County USDA Serv Cntr,Petaluma,CA
06,099,Stanislaus County USDA Serv Cntr,Modesto,CA
06,101,Sutter County USDA Serv Cntr,Yuba City,CA
06,103,Tehama County USDA Serv Cntr,Red Bluff,CA
06,105,Trinity County FSA Office,Redding,CA
06,107,Tulare County USDA Serv Cntr,Visalia,CA
06,109,Tuolumne County FSA Office,Modesto,CA
06,111,Ventura County FSA Office,Santa Maria,CA
06,113,Yolo County USDA Serv Cntr,Woodland,CA
06,115,Yuba County FSA Office,Yuba City,CA
06,703,Fambro Warehouse Company (LSA),Fresno,CA
06,704,"Links LSA, Inc. (LSA)",Bakersfield,CA
06,706,"Bakersfield Cotton Warehouse, LLC",Bakersfield,CA
06,801,Farmers' Rice Cooperative,Sacramento,CA
06,804,"CALCOT, LTD",Bakersfield,CA
08,000,Colorado State USDA Office,Lakewood,CO
08,001,Adams County USDA Serv Cntr,Brighton,CO
08,003,Alamosa County USDA Serv Cntr,Alamosa,CO
08,005,Arapahoe County USDA Serv Cntr,Byers,CO
08,007,Archuleta County FSA Office,Durango,CO
08,009,Baca County USDA Serv Cntr,Springfield,CO
08,011,Bent County USDA Serv Cntr,Las Animas,CO
08,013,Boulder County USDA Serv Cntr,Longmont,CO
08,014,Adams County FSA Office,Broomfield,CO
08,015,Chaffee County FSA Office,Canon City,CO
08,017,Cheyenne County USDA Serv Cntr,Cheyenne Wells,CO
08,021,Conejos County USDA Serv Cntr,La Jara,CO
08,023,Costilla County FSA Office,La Jara,CO
08,025,Crowley County FSA Office,Rocky Ford,CO
08,027,Custer County FSA Office,Canon City,CO
08,029,Delta County USDA Serv Cntr,Delta,CO
08,031,Adams County FSA Office,Denver,CO
08,033,Dolores County USDA Serv Cntr,Dove Creek,CO
08,035,Douglas County FSA Office,Simla,CO
08,037,Eagle County FSA Office,Glenwood Springs,CO
08,041,El Paso County USDA Serv Cntr,Colorado Springs,CO
08,039,Elbert County USDA Serv Cntr,Simla,CO
08,043,Fremont County USDA Serv Cntr,Canon City,CO
08,045,Garfield County USDA Serv Cntr,Glenwood Springs,CO
08,047,Gilpin,,CO
08,049,Grand County FSA Office,Steamboat Springs,CO
08,051,Gunnison Colorado County FSA Office,Montrose,CO
08,053,Hinsdale County FSA Office,Monte Vista,CO
08,055,Huerfano County FSA Office,Trinidad,CO
08,057,Jackson County FSA Office,Steamboat Springs,CO
08,059,Jefferson County FSA Office,Longmont,CO
08,061,Kiowa County USDA Serv Cntr,Eads,CO
08,063,Kit Carson County USDA Serv Cntr,Burlington,CO
08,065,Lake County FSA Office,Canon City,CO
08,067,La Plata County USDA Serv Cntr,Durango,CO
08,069,Larimer County USDA Serv Cntr,Fort Collins,CO
08,071,Las Animas County USDA Serv Cntr,Trinidad,CO
08,073,Lincoln County USDA Serv Cntr,Hugo,CO
08,075,Logan County USDA Serv Cntr,Sterling,CO
08,077,Mesa County USDA Serv Cntr,Grand Junction,CO
08,079,Mineral County FSA Office,Monte Vista,CO
08,081,Moffat County USDA Serv Cntr,Craig,CO
08,083,Montezuma County USDA Serv Cntr,Cortez,CO
08,085,Montrose County USDA Serv Cntr,Montrose,CO
08,087,Morgan County USDA Serv Cntr,Fort Morgan,CO
08,089,Otero County USDA Serv Cntr,Rocky Ford,CO
08,091,Ouray Colorado County FSA Office,Montrose,CO
08,093,Park County FSA Office,Colorado Springs,CO
08,095,Phillips County USDA Serv Cntr,Holyoke,CO
08,097,Pitkin County FSA Office,Glenwood Springs,CO
08,099,Prowers County USDA Serv Cntr,Lamar,CO
08,101,Pueblo County USDA Serv Cntr,Pueblo,CO
08,103,Rio Blanco County USDA Serv Cntr,Meeker,CO
08,105,Rio Grande County USDA Serv Cntr,Monte Vista,CO
08,107,Routt County USDA Serv Cntr,Steamboat Springs,CO
08,109,Saguache County FSA Office,Monte Vista,CO
08,113,San Miguel County FSA Office,Dove Creek,CO
08,115,Sedgwick County USDA Serv Cntr,Julesburg,CO
08,117,Summit County FSA Office,Steamboat Springs,CO
08,119,Teller County FSA Office,Colorado Springs,CO
08,121,Washington County USDA Serv Cntr,Akron,CO
08,123,Weld County USDA Serv Cntr,Greeley,CO
08,125,Yuma County USDA Serv Cntr,Wray,CO
09,000,Connecticut State USDA Office,Tolland,CT
09,001,Fairfield County FSA Office,Torrington,CT
09,003,Hartford County USDA Serv Cntr,Windsor,CT
09,005,Litchfield County USDA Serv Cntr,Torrington,CT
09,007,Middlesex County FSA Office,Wallingford,CT
09,009,New Haven County USDA Serv Cntr,Wallingford,CT
09,011,New London County USDA Serv Cntr,Norwich,CT
09,013,Tolland County FSA Office,Windsor,CT
09,015,Windham County USDA Serv Cntr,Brooklyn,CT
10,000,Delaware State USDA Office,Dover,DE
10,001,Kent County USDA Serv Cntr,Dover,DE
10,003,New Castle County USDA Serv Cntr,Newark,DE
10,005,Sussex County USDA Serv Cntr,Georgetown,DE
12,000,Florida State USDA Office,Gainesville,FL
12,001,Alachua County USDA Serv Cntr,Gainesville,FL
12,003,Baker County FSA Office,Baldwin,FL
12,005,Bay County FSA Office,Chipley,FL
12,007,Bradford County FSA Office,Gainesville,FL
12,009,Brevard County FSA Office,Kissimmee,FL
12,011,Broward County FSA Office,West Palm Beach,FL
12,013,Calhoun County USDA Serv Cntr,Blountstown,FL
12,015,Charlotte County FSA Office,Fort Myers,FL
12,017,Citrus County FSA Office,Bushnell,FL
12,019,Clay County FSA Office,East Palatka,FL
12,021,Collier County FSA Office,Clewiston,FL
12,023,Columbia County USDA Serv Cntr,Lake City,FL
12,025,Dade County USDA Serv Cntr,Homestead,FL
12,027,Desoto County FSA Office,Wauchula,FL
12,029,Dixie County FSA Office,Trenton,FL
12,031,Duval County USDA Serv Cntr,Baldwin,FL
12,033,Escambia County USDA Serv Cntr,Molino,FL
12,035,Flagler County FSA Office,East Palatka,FL
12,037,Franklin County FSA Office,Blountstown,FL
12,039,Gadsden County USDA Serv Cntr,Quincy,FL
12,041,Gilchrist County USDA Serv Cntr,Trenton,FL
12,043,Glades County FSA Office,Okeechobee,FL
12,045,Gulf County FSA Office,Blountstown,FL
12,047,Hamilton County USDA Serv Cntr,Jasper,FL
12,049,Hardee County USDA Serv Cntr,Wauchula,FL
12,051,Hendry County USDA Serv Cntr,Clewiston,FL
12,053,Hernando County FSA Office,San Antonio,FL
12,055,Highlands County USDA Serv Cntr,Sebring,FL
12,057,Hillsborough County USDA Serv Cntr,Plant City,FL
12,059,Holmes County USDA Serv Cntr,Bonifay,FL
12,061,Indian River County FSA Office,Fort Pierce,FL
12,063,Jackson County USDA Serv Cntr,Marianna,FL
12,065,Jefferson County USDA Serv Cntr,Monticello,FL
12,067,Lafayette County USDA Serv Cntr,Mayo,FL
12,069,Lake County USDA Serv Cntr,Tavares,FL
12,071,Lee County USDA Serv Cntr,Fort Myers,FL
12,073,Jefferson Leon & Wakulla County FSA Office,Monticello,FL
12,075,Levy County USDA Serv Cntr,Bronson,FL
12,077,Liberty County FSA Office,Blountstown,FL
12,079,Madison County USDA Serv Cntr,Madison,FL
12,081,Manatee County FSA Office,Wauchula,FL
12,083,Marion County USDA Serv Cntr,Ocala,FL
12,085,Martin County FSA Office,Fort Pierce,FL
12,089,Nassau County FSA Office,Baldwin,FL
12,091,Okaloosa County USDA Serv Cntr,Crestview,FL
12,093,Okeechobee County USDA Serv Cntr,Okeechobee,FL
12,095,Orange County FSA Office,Kissimmee,FL
12,097,Osceola County USDA Serv Cntr,Kissimmee,FL
12,099,Palm Beach County USDA Serv Cntr,West Palm Beach,FL
12,101,Pasco County USDA Serv Cntr,San Antonio,FL
12,103,Pinellas County FSA Office,Plant City,FL
12,105,Polk County USDA Serv Cntr,Bartow,FL
12,107,Putnam County USDA Serv Cntr,East Palatka,FL
12,109,St. Johns County FSA Office,East Palatka,FL
12,113,Santa Rosa County USDA Serv Cntr,Milton,FL
12,111,St. Lucie County USDA Serv Cntr,Fort Pierce,FL
12,115,Sarasota County FSA Office,Wauchula,FL
12,117,Seminole County FSA Office,Deland,FL
12,119,Sumter County USDA Serv Cntr,Bushnell,FL
12,121,Suwannee County USDA Serv Cntr,Live Oak,FL
12,123,Taylor County FSA Office,Mayo,FL
12,125,Union County FSA Office,Lake City,FL
12,127,Volusia County USDA Serv Cntr,Deland,FL
12,129,Wakulla County FSA Office,Monticello,FL
12,131,Walton County USDA Serv Cntr,Defuniak Springs,FL
12,133,Washington County USDA Serv Cntr,Chipley,FL
13,000,Georgia State USDA Office,Athens,GA
13,001,Appling County USDA Serv Cntr,Baxley,GA
13,003,Atkinson County USDA Serv Cntr,Pearson,GA
13,005,Bacon County USDA Serv Cntr,Alma,GA
13,007,Baker County USDA Serv Cntr,Newton,GA
13,009,Baldwin County FSA Office,Eatonton,GA
13,011,Banks County FSA Office,Commerce,GA
13,013,Barrow County FSA Office,Watkinsville,GA
13,015,Bartow County FSA Office,Calhoun,GA
13,017,Ben Hill County USDA Serv Cntr,Fitzgerald,GA
13,019,Berrien County USDA Serv Cntr,Nashville,GA
13,021,Bibb County FSA Office,Byron,GA
13,023,Bleckley County USDA Serv Cntr,Cochran,GA
13,025,Brantley County USDA Serv Cntr,Nahunta,GA
13,027,Brooks County USDA Serv Cntr,Quitman,GA
13,029,Bryan County FSA Office,Springfield,GA
13,031,Bulloch County USDA Serv Cntr,Statesboro,GA
13,033,Burke County USDA Serv Cntr,Waynesboro,GA
13,035,Butts County FSA Office,McDonough,GA
13,037,Calhoun County USDA Serv Cntr,Morgan,GA
13,039,Camden County FSA Office,Jesup,GA
13,043,Candler County USDA Serv Cntr,Metter,GA
13,045,Carroll County USDA Serv Cntr,Carrollton,GA
13,047,Catoosa County FSA Office,Lafayette,GA
13,049,Charlton County FSA Office,Nahunta,GA
13,051,Chatham County FSA Office,Springfield,GA
13,053,Chattahoochee County FSA Office,Buena Vista,GA
13,055,Chattooga County FSA Office,Lafayette,GA
13,057,Cherokee County FSA Office,Calhoun,GA
13,059,Clarke County FSA Office,Watkinsville,GA
13,061,Clay County FSA Office,Cuthbert,GA
13,063,Clayton County FSA Office,McDonough,GA
13,065,Clinch County FSA Office,Lakeland,GA
13,067,Cobb County FSA Office,Calhoun,GA
13,069,Coffee County USDA Serv Cntr,Douglas,GA
13,071,Colquitt County USDA Serv Cntr,Moultrie,GA
13,073,Columbia County FSA Office,Thomson,GA
13,075,Cook County USDA Serv Cntr,Adel,GA
13,077,Coweta County USDA Serv Cntr,Newnan,GA
13,079,Crawford County FSA Office,Byron,GA
13,081,Crisp County USDA Serv Cntr,Cordele,GA
13,083,Dade County FSA Office,Lafayette,GA
13,085,Dawson County FSA Office,Gainesville,GA
13,087,Decatur County USDA Serv Cntr,Bainbridge,GA
13,089,Dekalb County FSA Office,Monroe,GA
13,091,Dodge County USDA Serv Cntr,Eastman,GA
13,093,Dooly County USDA Serv Cntr,Vienna,GA
13,095,Dougherty County USDA Serv Cntr,Albany,GA
13,097,Douglas County FSA Office,Carrollton,GA
13,099,Early County USDA Serv Cntr,Blakely,GA
13,101,Echols County FSA Office,Valdosta,GA
13,103,Effingham County USDA Serv Cntr,Springfield,GA
13,105,Elbert County USDA Serv Cntr,Elberton,GA
13,107,Emanuel County USDA Serv Cntr,Swainsboro,GA
13,109,Evans County USDA Serv Cntr,Claxton,GA
13,111,Fannin County FSA Office,Blairsville,GA
13,113,Fayette County FSA Office,McDonough,GA
13,115,Floyd County USDA Serv Cntr,Rome,GA
13,117,Forsyth County FSA Office,Gainesville,GA
13,119,Franklyn County FSA Office,Hartwell,GA
13,121,Fulton County FSA Office,Carrollton,GA
13,123,Gilmer County FSA Office,Blairsville,GA
13,125,Glascock County FSA Office,Louisville,GA
13,127,Glynn County FSA Office,Jesup,GA
13,129,Gordon County USDA Serv Cntr,Calhoun,GA
13,131,Grady County USDA Serv Cntr,Cairo,GA
13,133,Greene County USDA Serv Cntr,Greensboro,GA
13,135,Gwinnett County FSA Office,Monroe,GA
13,137,Habersham County USDA Serv Cntr,Clarkesville,GA
13,139,Hall County USDA Serv Cntr,Gainesville,GA
13,141,Hancock County FSA Office,Greensboro,GA
13,143,Haralson County FSA Office,Carrollton,GA
13,145,Harris County FSA Office,Buena Vista,GA
13,147,Hart County USDA Serv Cntr,Hartwell,GA
13,149,Heard County FSA Office,Newnan,GA
13,151,Henry County USDA Serv Cntr,McDonough,GA
13,153,Houston County USDA Serv Cntr,Perry,GA
13,155,Irwin County USDA Serv Cntr,Ocilla,GA
13,157,Jackson County USDA Serv Cntr,Commerce,GA
13,159,Jasper County FSA Office,Madison,GA
13,161,Jeff Davis County USDA Serv Cntr,Hazlehurst,GA
13,163,Jefferson County USDA Serv Cntr,Louisville,GA
13,165,Jenkins County USDA Serv Cntr,Millen,GA
13,167,Johnson County USDA Serv Cntr,Wrightsville,GA
13,169,Jones County FSA Office,Eatonton,GA
13,171,Lamar County USDA Serv Cntr,Barnesville,GA
13,173,Lanier County USDA Serv Cntr,Lakeland,GA
13,175,Laurens County USDA Serv Cntr,Dublin,GA
13,177,Lee County USDA Serv Cntr,Leesburg,GA
13,179,Liberty County FSA Office,Jesup,GA
13,181,Lincoln County FSA Office,Washington,GA
13,183,Long County FSA Office,Jesup,GA
13,185,Lowndes County USDA Serv Cntr,Valdosta,GA
13,187,Lumpkin County FSA Office,Gainesville,GA
13,189,McDuffie County USDA Serv Cntr,Thomson,GA
13,191,MCIntosh County FSA Office,Jesup,GA
13,193,Macon County USDA Serv Cntr,Oglethorpe,GA
13,195,Madison County FSA Office,Commerce,GA
13,197,Marion County USDA Serv Cntr,Buena Vista,GA
13,199,Meriwether County FSA Office,Newnan,GA
13,201,Miller County USDA Serv Cntr,Colquitt,GA
13,205,Mitchell County USDA Serv Cntr,Camilla,GA
13,207,Monroe County FSA Office,Barnesville,GA
13,209,Montgomery County USDA Serv Cntr,Mount Vernon,GA
13,211,Morgan County USDA Serv Cntr,Madison,GA
13,213,Murray County FSA Office,Calhoun,GA
13,215,Muscogee County FSA Office,Buena Vista,GA
13,217,Newton County FSA Office,Madison,GA
13,219,Oconee County USDA Serv Cntr,Watkinsville,GA
13,221,Oglethorpe County FSA Office,Elberton,GA
13,223,Paulding County FSA Office,Carrollton,GA
13,225,Peach County USDA Serv Cntr,Byron,GA
13,227,Pickens County FSA Office,Calhoun,GA
13,229,Pierce County USDA Serv Cntr,Blackshear,GA
13,231,Pike County FSA Office,Barnesville,GA
13,233,Polk County FSA Office,Rome,GA
13,235,Pulaski County USDA Serv Cntr,Hawkinsville,GA
13,237,Putnam County USDA Serv Cntr,Eatonton,GA
13,239,Quitman County FSA Office,Cuthbert,GA
13,241,Rabun County FSA Office,Clarkesville,GA
13,243,Randolph County USDA Serv Cntr,Cuthbert,GA
13,245,Richmond County FSA Office,Thomson,GA
13,247,Rockdale County FSA Office,Monroe,GA
13,249,Schley County FSA Office,Americus,GA
13,251,Screven County USDA Serv Cntr,Sylvania,GA
13,253,Seminole County USDA Serv Cntr,Donalsonville,GA
13,255,Spalding County FSA Office,McDonough,GA
13,257,Stephens County FSA Office,Clarkesville,GA
13,259,Stewart County FSA Office,Preston,GA
13,261,Sumter County USDA Serv Cntr,Americus,GA
13,263,Talbot County FSA Office,Buena Vista,GA
13,265,Taliaferro County FSA Office,Greensboro,GA
13,267,Tattnall County USDA Serv Cntr,Reidsville,GA
13,269,Taylor County USDA Serv Cntr,Butler,GA
13,271,Telfair County USDA Serv Cntr,McRae,GA
13,273,Terrell County USDA Serv Cntr,Dawson,GA
13,275,Thomas County USDA Serv Cntr,Thomasville,GA
13,277,Tift County USDA Serv Cntr,Tifton,GA
13,279,Toombs County USDA Serv Cntr,Lyons,GA
13,281,Towns County FSA Office,Blairsville,GA
13,283,Treutlen County FSA Office,Mount Vernon,GA
13,285,Troup County FSA Office,Newnan,GA
13,287,Turner County USDA Serv Cntr,Ashburn,GA
